"","Municipio","Data_Plantio","MP_Long","Chance_Long","MP_Short","Chance_Short","Recomendação"
"74","GOIANESIA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"75","GOIANESIA","21-09",0.98,"Media","1","Alta","Ciclo_Curto"
"76","GOIANESIA","01-10",0.98,"Media","1","Alta","Ciclo_Curto"
"77","GOIANESIA","11-10",0.98,"Media","1","Alta","Ciclo_Curto"
"78","GOIANESIA","21-10",0.98,"Media","1","Alta","Ciclo_Curto"
"79","GOIANESIA","01-11",0.98,"Media","1","Alta","Ciclo_Curto"
"80","GOIANESIA","11-11",0.98,"Media","1","Alta","Ciclo_Curto"
"81","GOIANESIA","21-11",1,"Media","1","Alta","Ciclo_Curto"
"82","IACIARA","01-09",1,"Media","1","Alta","Ciclo_Curto"
"83","IACIARA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"84","IACIARA","21-09",1,"Media","1","Alta","Ciclo_Curto"
"85","IACIARA","01-10",1,"Media","1","Alta","Ciclo_Curto"
"86","IACIARA","11-10",1,"Media","1","Alta","Ciclo_Curto"
"87","IACIARA","21-10",1,"Media","1","Alta","Ciclo_Curto"
"88","IACIARA","01-11",1,"Media","1","Alta","Ciclo_Curto"
"89","IACIARA","11-11",1,"Media","1","Alta","Ciclo_Curto"
"90","IACIARA","21-11",1,"Media","1","Alta","Ciclo_Curto"
"91","INDIARA","01-09",1,"Media","1","Alta","Ciclo_Curto"
"92","INDIARA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"93","INDIARA","21-09",1,"Media","1","Alta","Ciclo_Curto"
"94","INDIARA","01-10",1,"Media","1","Alta","Ciclo_Curto"
"95","INDIARA","11-10",0.98,"Media","1","Alta","Ciclo_Curto"
"96","INDIARA","21-10",0.98,"Media","1","Alta","Ciclo_Curto"
"97","INDIARA","01-11",0.98,"Media","1","Alta","Ciclo_Curto"
"98","INDIARA","11-11",1,"Media","1","Alta","Ciclo_Curto"
"99","INDIARA","21-11",1,"Media","1","Alta","Ciclo_Curto"
"100","JOVIANIA","01-09",1,"Media","1","Alta","Ciclo_Curto"
"101","JOVIANIA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"102","JOVIANIA","21-09",1,"Media","1","Alta","Ciclo_Curto"
"103","JOVIANIA","01-10",0.96,"Media","1","Alta","Ciclo_Curto"
"104","JOVIANIA","11-10",0.97,"Media","1","Alta","Ciclo_Curto"
"105","JOVIANIA","21-10",0.93,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"106","JOVIANIA","01-11",0.98,"Media","1","Alta","Ciclo_Curto"
"107","JOVIANIA","11-11",1,"Media","1","Alta","Ciclo_Curto"
"108","JOVIANIA","21-11",1,"Media","1","Alta","Ciclo_Curto"
"109","MONTIVIDIU","01-09",0.95,"Media","0.98","Media","Ciclo_Curto_ou_Longo"
"110","MONTIVIDIU","11-09",0.93,"Alta","0.98","Media","Ciclo_Longo"
"111","MONTIVIDIU","21-09",0.84,"Alta","0.97","Media","Ciclo_Longo"
"112","MONTIVIDIU","01-10",0.67,"Baixa","0.97","Media","Ciclo_Curto"
